Participant_ID,Anger_start,Anger_end,Sadness_start,Sadness_end,Neutral_start,Neutral_end,Contentment_start,Contentment_end,Amusement_start,Amusement_end
251106_01,359,515,1026,1197,570,719,103,303,775,970
251106_02,737,893,54,225,532,681,948,1148,281,476
251107_01,979,1135,496,667,40,189,723,923,245,440
251110_01,723,879,240,411,35,184,467,667,934,1129
251111_01,281,437,948,1119,492,641,25,225,697,892
251111_02,707,863,24,195,502,651,918,1118,251,446
251112_01,959,1115,476,647,20,169,703,903,225,420
251112_02,283,439,955,1126,494,643,699,899,32,227
251113_01,706,862,223,394,18,167,450,650,917,1112
251113_02,285,441,952,1123,496,645,30,230,702,897
251114_01,702,858,19,190,497,646,913,1113,246,441
251114_02,959,1115,476,647,20,169,703,903,225,420
251117_01,281,437,953,1124,492,641,697,897,30,225
251117_02,728,884,245,416,40,189,472,672,939,1134
251118_01,290,446,957,1128,501,650,34,234,706,901
251118_02,715,871,32,203,510,659,926,1126,259,454
251118_03,972,1128,489,660,33,182,716,916,238,433
251119_01,294,450,966,1137,505,654,710,910,43,238
251120_01,713,869,230,401,25,174,457,657,924,1119
251120_02,303,459,970,1141,514,663,47,247,719,914
251126_01,962,1118,479,650,23,172,706,906,228,423
251128_01,271,427,943,1114,482,631,687,887,20,215
251128_02,720,876,237,408,32,181,464,664,931,1126
251211_01,278,434,945,1116,489,638,22,222,694,889
251211_02,732,888,49,220,527,676,943,1143,278,473
251211_03,978,1134,495,666,39,188,722,922,244,439
251212_01,291,447,963,1134,502,651,707,907,40,235
251212_02,721,877,238,409,33,182,465,665,932,1127
251215_01,284,440,951,1122,495,644,28,228,700,895
251215_02,715,871,32,203,510,659,926,1126,259,454
251216_01,952,1108,469,640,13,162,696,896,218,413
251218_01,218,374,952,1123,469,618,696,896,13,208
251218_03,274,430,941,1112,485,634,18,218,690,885
251219_01,724,880,41,212,519,668,935,1135,268,463
251219_02,985,1141,502,673,46,195,729,929,251,446
251222_01,301,457,973,1144,512,661,717,917,50,245
251225_01,719,875,236,407,31,180,463,663,930,1125
251225_02,274,430,941,1112,485,634,18,218,690,885
260114_01,701,857,18,189,496,645,912,1112,245,440
260119_01,979,1135,496,667,40,189,723,923,245,440
260119_02,708,864,225,396,20,169,452,652,919,1114
260123_01,225,381,919,1090,452,601,708,908,20,215
260126_01,275,431,942,1113,486,635,19,219,691,886
260126_02,701,857,18,189,496,645,912,1112,245,440
260127_01,960,1116,477,648,21,170,704,904,226,421
260130_01,269,425,941,1112,480,629,685,885,18,213
260219_01,707,863,224,395,19,168,451,651,918,1113
260220_01,278,434,945,1116,489,638,22,222,694,889
260220_02,701,857,19,190,496,645,912,1112,245,440
260225_01,957,1113,474,645,18,167,701,901,223,418
260225_02,270,426,942,1113,481,630,686,886,19,214
260225_03,703,859,220,391,15,164,447,647,914,1109
260226_01,274,430,941,1112,485,634,18,218,690,885
260226_02,698,854,15,186,493,642,909,1109,242,437
